https://www.CryptoDataDownload.com,,,,,,,,,
Unix,datetime,Symbol,Open,High,Low,price,Volume ETH,Volume USDT,tradecount
1672272000000,2022-12-29,ETHUSDT,1190.15,1206.57,1186.77,1200.49,249130.4869,298245107.21298,377201
1672185600000,2022-12-28,ETHUSDT,1211.55,1215.78,1181.06,1190.15,367828.8914,439875906.992195,474792
1672099200000,2022-12-27,ETHUSDT,1228.12,1233.73,1200.58,1211.55,262437.6398,319100139.542709,372190
1672012800000,2022-12-26,ETHUSDT,1218.52,1231.09,1211.67,1228.11,162723.0857,198389481.179895,308520
1671926400000,2022-12-25,ETHUSDT,1220.42,1225,1193.18,1218.51,231652.0612,280833354.711449,379422
1671840000000,2022-12-24,ETHUSDT,1219.98,1227.99,1214.69,1220.41,123701.5301,150864338.673479,296993
1671753600000,2022-12-23,ETHUSDT,1217.72,1231.99,1210,1219.99,278604.2882,340146608.67751,439410
1671667200000,2022-12-22,ETHUSDT,1213.78,1237.99,1182.54,1217.71,336761.6598,406520096.766709,488758
1671580800000,2022-12-21,ETHUSDT,1216.95,1223.39,1203.02,1213.78,245723.8377,297776619.126343,413931
1671494400000,2022-12-20,ETHUSDT,1167.82,1230.47,1163.12,1216.94,465184.1943,561079146.680025,624202
1671408000000,2022-12-19,ETHUSDT,1183.06,1195,1150.51,1167.82,296832.7228,349312990.374414,443756
1671321600000,2022-12-18,ETHUSDT,1187.16,1199.54,1170.32,1183.06,252260.144,298608427.352787,385205
1671235200000,2022-12-17,ETHUSDT,1166.82,1190.03,1161.92,1187.16,328881.6281,387145994.352974,443309
1671148800000,2022-12-16,ETHUSDT,1266.53,1280.06,1155.32,1166.83,751422.2779,907833696.288013,883071
1671062400000,2022-12-15,ETHUSDT,1307.45,1311.14,1259.27,1266.54,390051.2447,499233719.985679,445162
1670976000000,2022-12-14,ETHUSDT,1320.69,1352.72,1301,1307.44,554465.5717,734778540.993996,548806
1670889600000,2022-12-13,ETHUSDT,1275.41,1349,1255.1,1320.69,659393.8825,859595295.378895,813791
1670803200000,2022-12-12,ETHUSDT,1263,1278.9,1240.03,1275.4,363750.5481,456347758.277843,489887
1670716800000,2022-12-11,ETHUSDT,1266.35,1284.75,1255.85,1263.01,180494.902,229443304.733031,314531
1670630400000,2022-12-10,ETHUSDT,1263.11,1283.61,1259.6,1266.35,182278.6396,231301933.590191,322453
1670544000000,2022-12-09,ETHUSDT,1280.18,1296.64,1250,1263.1,406008.0032,518804946.771469,540078
1670457600000,2022-12-08,ETHUSDT,1231.18,1292.58,1222.01,1280.18,406653.5447,509776313.423839,559884
1670371200000,2022-12-07,ETHUSDT,1271.31,1278.69,1218.01,1231.18,398559.5166,492706380.526734,530298
1670284800000,2022-12-06,ETHUSDT,1259.41,1274.76,1241.56,1271.32,301631.839,379095106.355305,471097
1670198400000,2022-12-05,ETHUSDT,1279.4,1305.11,1246.61,1259.41,391628.5166,501560285.699509,612914
1670112000000,2022-12-04,ETHUSDT,1240.5,1287.19,1240.1,1279.41,324129.5466,409404653.048475,498321
1670025600000,2022-12-03,ETHUSDT,1295.58,1309,1236.26,1240.51,347148.2588,441457418.331919,594082
1669939200000,2022-12-02,ETHUSDT,1276.4,1297.18,1265.24,1295.59,371559.585,475691291.455063,547512
1669852800000,2022-12-01,ETHUSDT,1294.46,1299.9,1262.77,1276.41,430018.7391,550769676.044084,587711
1669766400000,2022-11-30,ETHUSDT,1216.49,1309.77,1212.5,1294.46,815679.2717,1038748742.50376,985173
1669680000000,2022-11-29,ETHUSDT,1167.77,1228.37,1158.27,1216.49,512143.5861,617963786.601915,789552
1669593600000,2022-11-28,ETHUSDT,1193.88,1199.25,1151.02,1167.77,478795.6093,560568777.560251,708380
1669507200000,2022-11-27,ETHUSDT,1205.61,1223.33,1188.65,1193.88,286386.7986,347218857.867976,458378
1669420800000,2022-11-26,ETHUSDT,1199.29,1235.66,1196.2,1205.6,379840.8116,461938380.004201,566155
1669334400000,2022-11-25,ETHUSDT,1203.72,1207.77,1171.2,1199.3,391430.1658,465159072.757305,581961
1669248000000,2022-11-24,ETHUSDT,1184.52,1217.71,1180.6,1203.73,486080.6123,583303022.423642,616769
1669161600000,2022-11-23,ETHUSDT,1139.59,1190,1127.75,1184.52,636927.1594,741271142.430098,767861
1669075200000,2022-11-22,ETHUSDT,1107.34,1146.13,1075,1139.6,748884.5791,831782462.696527,899796
1668988800000,2022-11-21,ETHUSDT,1142.21,1146.99,1079.76,1107.34,922647.9454,1031424505.49833,1063296
1668902400000,2022-11-20,ETHUSDT,1217.67,1227.07,1132.65,1142.21,531108.7607,625008081.79912,693003
1668816000000,2022-11-19,ETHUSDT,1212.58,1235,1197.67,1217.67,209789.5888,254211466.151609,330573
1668729600000,2022-11-18,ETHUSDT,1200.42,1234,1199.18,1212.58,360218.5337,437658373.674359,493436
1668643200000,2022-11-17,ETHUSDT,1216.16,1228.22,1181.05,1200.43,530537.3488,638342419.855931,719509
1668556800000,2022-11-16,ETHUSDT,1253.22,1268.67,1187.06,1216.17,673339.7215,826025937.836291,969295
1668470400000,2022-11-15,ETHUSDT,1243.29,1291,1234.01,1253.23,632825.568,798023541.208052,961779
1668384000000,2022-11-14,ETHUSDT,1221.5,1291.2,1171.13,1243.28,934742.0059,1152982945.60203,1471485
1668297600000,2022-11-13,ETHUSDT,1257.25,1274.23,1200.66,1221.49,547410.5304,676891239.244159,896665
1668211200000,2022-11-12,ETHUSDT,1289.35,1292.16,1238.7,1257.25,547772.9172,693031301.598889,933438
1668124800000,2022-11-11,ETHUSDT,1299.28,1310,1201.26,1289.28,1308087.1498,1652414528.52089,2118330
1668038400000,2022-11-10,ETHUSDT,1102.73,1350,1085.93,1299.28,1975955.6767,2443394252.53037,2800795
1667952000000,2022-11-09,ETHUSDT,1334.78,1337.16,1073.53,1102.73,2494797.9357,3021176147.39616,3172468
1667865600000,2022-11-08,ETHUSDT,1568.09,1579.98,1233,1334.77,2339916.5089,3356475001.5459,2874276
1667779200000,2022-11-07,ETHUSDT,1568.25,1608.04,1545.03,1568.1,642409.4494,1013046543.98044,851962
1667692800000,2022-11-06,ETHUSDT,1626.98,1639.02,1564.39,1568.29,414863.9525,668569491.577513,545053
1667606400000,2022-11-05,ETHUSDT,1644.78,1666.97,1621.42,1626.98,351385.5362,577061606.733728,480888
1667520000000,2022-11-04,ETHUSDT,1531.01,1680,1528.4,1644.78,935531.4781,1503427052.72077,1072186
1667433600000,2022-11-03,ETHUSDT,1518.33,1559.01,1515.17,1531.01,560202.8813,863253444.76684,678608
1667347200000,2022-11-02,ETHUSDT,1578.47,1621.68,1502.32,1518.34,981395.3648,1534786415.43921,1171091
1667260800000,2022-11-01,ETHUSDT,1572.69,1612.92,1563.69,1578.48,527539.2965,836251567.424643,702747
1667174400000,2022-10-31,ETHUSDT,1590.45,1635.8,1545.43,1572.69,810334.2414,1283098004.76574,1024808
1667088000000,2022-10-30,ETHUSDT,1619.55,1640.06,1576.56,1590.44,476036.4243,762732547.091583,705583
1667001600000,2022-10-29,ETHUSDT,1554.4,1663.06,1547.66,1619.55,914161.0846,1477815830.63917,1094332
1666915200000,2022-10-28,ETHUSDT,1514.04,1574.9,1479.82,1554.41,858954.4425,1309517416.24114,999855
1666828800000,2022-10-27,ETHUSDT,1566.11,1578.58,1503.2,1514.05,869454.4851,1345399838.03733,1122874
1666742400000,2022-10-26,ETHUSDT,1459.74,1594.99,1457.44,1566.1,1236044.7023,1896388070.24978,1357864
1666656000000,2022-10-25,ETHUSDT,1343.61,1525.16,1334.94,1459.74,1127932.9012,1612140846.30516,1205998
1666569600000,2022-10-24,ETHUSDT,1364.19,1370.6,1324.17,1343.61,611830.797,822740466.673396,698241
1666483200000,2022-10-23,ETHUSDT,1313.62,1371.55,1299.44,1364.2,432269.46,576212623.600304,496386
1666396800000,2022-10-22,ETHUSDT,1299.76,1320.2,1294.32,1313.61,221776.7007,290111447.628081,323066
1666310400000,2022-10-21,ETHUSDT,1282.57,1306.97,1252.65,1299.75,468076.7986,600999941.106533,572819
1666224000000,2022-10-20,ETHUSDT,1285.09,1310.87,1270.36,1282.57,428531.6103,552593958.212735,558080
1666137600000,2022-10-19,ETHUSDT,1310.71,1313.5,1280.31,1285.09,368637.5105,478516630.187023,472022
1666051200000,2022-10-18,ETHUSDT,1331.39,1341.73,1286.72,1310.71,572728.9189,755297911.29191,603600
1665964800000,2022-10-17,ETHUSDT,1305.96,1338.57,1295.64,1331.4,459848.4941,606979972.119024,553275
1665878400000,2022-10-16,ETHUSDT,1274.93,1315.35,1274.67,1305.95,293321.3632,379290237.639458,397092
1665792000000,2022-10-15,ETHUSDT,1296.26,1301.69,1263.64,1274.92,287100.9529,368914560.658213,396464
1665705600000,2022-10-14,ETHUSDT,1287.08,1343.12,1283.39,1296.27,669742.8093,883059208.714464,788710
1665619200000,2022-10-13,ETHUSDT,1294.44,1301.58,1190,1287.08,945618.3163,1183462907.93015,1135833
1665532800000,2022-10-12,ETHUSDT,1280.11,1306.87,1275.25,1294.44,369712.5759,478797824.541982,477911
1665446400000,2022-10-11,ETHUSDT,1290.03,1298,1267.01,1280.11,429430.3941,550448836.809297,583107
1665360000000,2022-10-10,ETHUSDT,1323.13,1338,1288,1290.03,393663.0114,515800751.338415,587314
1665273600000,2022-10-09,ETHUSDT,1315.48,1329,1307.26,1323.13,186201.9185,245547831.320531,328378
1665187200000,2022-10-08,ETHUSDT,1331.1,1337.35,1303.51,1315.48,203391.6612,269448439.339348,383251
1665100800000,2022-10-07,ETHUSDT,1352.07,1361.75,1317.26,1331.1,491999.8776,659508723.354053,679464
1665014400000,2022-10-06,ETHUSDT,1352.2,1383.99,1345.01,1352.06,573975.324,783638743.155702,789673
1664928000000,2022-10-05,ETHUSDT,1361.5,1364.77,1316.29,1352.2,483508.7782,649745323.368146,695638
